Year,Region,Communications Services Indicator,Value
2012,Makkah,Subscribers of broadband services,688305
2012,Aseer,Subscribers of broadband services,92642
2012,Madinah,Fixed operating telephone lines,283345
2012,Riyadh,Fixed operating telephone lines,1439442
2012,Tabouk,Fixed operating telephone lines,97211
2012,Hail,Subscribers of broadband services,33671
2012,Aseer,Fixed operating telephone lines,235911
2013,Total,Mobile Phone Lines*,50887000
2012,Eastern,Internet Users,2520307
2012,Hail,Internet Users,320734
2010,Al-Jouf,Subscribers of broadband services,44975
2010,Al-Jouf,Fixed operating telephone lines,46780
2010,Total,Subscribers of broadband services,4441001
2010,Jazan,Subscribers of broadband services,66752
2010,Hail,Subscribers of broadband services,52998
2010,Aseer,Fixed operating telephone lines,204660
2010,Northern Borders,Internet Users,106000
2010,Al-Qaseem,Internet Users,443000
2009,Makkah,Internet Users,2725330
2010,Hail,Internet Users,231000
2014,Al-Jouf,percentage of  population  using internet,89
2014,Madinah,percentage of  population  using internet,86
2014,Najran,percentage of  population  using internet,94
2014,Aseer,percentage of  population  using internet,98
2015,Al-Jouf,Subscribers of broadband services,43123
2014,Riyadh,Subscribers of broadband services,688491
2015,Al-Jouf,Fixed operating telephone lines,24543
2014,Jazan,Subscribers of broadband services,154683
2015,Jazan,Subscribers of broadband services,44458
2014,Hail,Fixed operating telephone lines,63957
2013,Al-Qaseem,Subscribers of broadband services,108143
2013,Eastern,Subscribers of broadband services,531307
2013,Najran,Subscribers of broadband services,36723
2013,Tabouk,Subscribers of broadband services,54672
2013,Makkah,Fixed operating telephone lines,1301546
2013,Tabouk,Fixed operating telephone lines,95518
2014,Total,Fixed operating telephone lines,3688113
2013,Najran,Internet Users,316230
2013,Total,Internet Users,16519999
2013,Jazan,Internet Users,437810
2008,Al-Jouf,Subscribers of broadband services,13480
2008,Jazan,Subscribers of broadband services,20007
2008,Najran,Fixed operating telephone lines,48540
2016,Al-Jouf,percentage of  population  using internet,93.94
2016,Madinah,percentage of  population  using internet,97.31
2016,Al-Baha,Subscribers of broadband services,65884
2016,Eastern,Subscribers of broadband services,655015
2016,Madinah,Subscribers of broadband services,54454
2016,Eastern,Fixed operating telephone lines,751171
2016,Tabouk,Fixed operating telephone lines,62810
2016,Jazan,Fixed operating telephone lines,51109
2016,Total,Fixed operating telephone lines,3489245
2014,Northern Borders,percentage of  population  using internet,97
2014,Northern Borders,Subscribers of broadband services,33363
2014,Al-Baha,percentage of  population  using internet,98
2014,Jazan,percentage of  population  using internet,100
2014,Al-Baha,Fixed operating telephone lines,51829
2014,Hail,Subscribers of broadband services,63693
2014,Aseer,Fixed operating telephone lines,208199
2015,Total,Fixed operating telephone lines,3704542
2013,Riyadh,Internet Users,4238375
2013,Aseer,Internet Users,1227304
2015,Northern Borders,percentage of  population  using internet,83
2015,Al-Jouf,percentage of  population  using internet,100
2015,Eastern,percentage of  population  using internet,96
2015,Najran,percentage of  population  using internet,98
2015,Al-Baha,Subscribers of broadband services,72552
2015,Najran,Subscribers of broadband services,282189
2015,Tabouk,Subscribers of broadband services,84466
2015,Riyadh,Fixed operating telephone lines,1238191
2015,Najran,Fixed operating telephone lines,30735
2015,Aseer,Fixed operating telephone lines,206613
2013,Northern Borders,Subscribers of broadband services,19713
2013,Al-Jouf,Fixed operating telephone lines,52990
2013,Total,Subscribers of broadband services,2919000
2013,Hail,Subscribers of broadband services,38681
2013,Jazan,Fixed operating telephone lines,105892
2013,Hail,Fixed operating telephone lines,73218
2013,Northern Borders,Internet Users,154195
2013,Al-Baha,Internet Users,257592
2012,Makkah,Internet Users,4244733
2013,Tabouk,Internet Users,482327
2008,Northern Borders,Subscribers of broadband services,9106
2008,Tabouk,Subscribers of broadband services,25417
2008,Tabouk,Fixed operating telephone lines,83462
2008,Total,Fixed operating telephone lines,4122693
2008,Hail,Fixed operating telephone lines,63977
2008,Al-Qaseem,Internet Users,358000
2008,Jazan,Internet Users,180000
2010,Najran,Subscribers of broadband services,36121
2009,Al-Baha,Fixed operating telephone lines,53125
2009,Jazan,Subscribers of broadband services,41335
2009,Eastern,Fixed operating telephone lines,726832
2008,Madinah,Fixed operating telephone lines,243271
2008,Riyadh,Fixed operating telephone lines,1235859
2010,Total,Mobile Phone Lines*,51600000
2009,Eastern,Internet Users,1562929
2009,Madinah,Internet Users,690040
2008,Makkah,Internet Users,2504000
2012,Al-Qaseem,Subscribers of broadband services,94135
2012,Al-Baha,Subscribers of broadband services,27491
2012,Al-Jouf,Subscribers of broadband services,24134
2012,Tabouk,Subscribers of broadband services,47590
2011,Tabouk,Fixed operating telephone lines,93796
2011,Northern Borders,Internet Users,126940
2012,Madinah,Internet Users,1036804
2011,Eastern,Internet Users,2168066
2011,Riyadh,Internet Users,3489219
2012,Tabouk,Internet Users,461585
2010,Al-Qaseem,Subscribers of broadband services,155060
2010,Eastern,Subscribers of broadband services,818468
2010,Riyadh,Subscribers of broadband services,1439543
2011,Najran,Subscribers of broadband services,15870
2010,Tabouk,Subscribers of broadband services,84802
2010,Tabouk,Fixed operating telephone lines,84334
2010,Hail,Fixed operating telephone lines,64640
2010,Madinah,Internet Users,747000
2011,Jazan,Internet Users,360425
2010,Jazan,Internet Users,302000
2016,Riyadh,Fixed operating telephone lines,1028836
2016,Aseer,Subscribers of broadband services,235956
2016,Tabouk,Subscribers of broadband services,104290
2016,Hail,percentage of  population  using internet,100
2016,Northern Borders,Fixed operating telephone lines,18717
2016,Jazan,Subscribers of broadband services,54518
2016,Najran,percentage of  population  using internet,95.74
2016,Al-Jouf,Fixed operating telephone lines,24516
2016,Al-Jouf,Subscribers of broadband services,38110
2016,Total,Subscribers of broadband services,2946083
2015,Makkah,percentage of  population  using internet,86
2015,Makkah,Subscribers of broadband services,777192
2015,Madinah,Subscribers of broadband services,139370
2015,Al-Qaseem,Fixed operating telephone lines,154526
2015,Aseer,Subscribers of broadband services,143683
2015,Hail,Subscribers of broadband services,109704
2015,Northern Borders,Fixed operating telephone lines,19753
2014,Madinah,Fixed operating telephone lines,151146
2014,Eastern,percentage of  population  using internet,99
2014,Eastern,Subscribers of broadband services,436752
2014,Total,Subscribers of broadband services,3033000
2013,Makkah,Internet Users,4435479
2013,Madinah,Fixed operating telephone lines,278411
2013,Madinah,Subscribers of broadband services,157885
2013,Eastern,Internet Users,2633562
2013,Eastern,Fixed operating telephone lines,831820
2013,Al-Baha,Subscribers of broadband services,31582
2013,Al-Jouf,Subscribers of broadband services,27725
2013,Jazan,Subscribers of broadband services,61630
2012,Madinah,Subscribers of broadband services,137434
2012,Al-Qaseem,Fixed operating telephone lines,187130
2012,Northern Borders,Internet Users,147564
2012,Total,Mobile Phone Lines*,53012322
2011,Riyadh,Subscribers of broadband services,632459
2011,Madinah,Subscribers of broadband services,112420
2011,Al-Qaseem,Fixed operating telephone lines,180557
2011,Hail,Subscribers of broadband services,23285
2011,Tabouk,Internet Users,397073
2011,Al-Baha,Fixed operating telephone lines,59703
2011,Al-Jouf,Internet Users,226539
2011,Al-Jouf,Fixed operating telephone lines,52035
2011,Jazan,Subscribers of broadband services,29327
2011,Najran,Internet Users,260335
2011,Total,Internet Users,13600000
2010,Riyadh,Internet Users,2924000
2010,Al-Qaseem,Fixed operating telephone lines,162340
2010,Eastern,Fixed operating telephone lines,734420
2010,Aseer,Subscribers of broadband services,121222
2010,Tabouk,Internet Users,332000
2010,Jazan,Fixed operating telephone lines,93490
2009,Riyadh,Fixed operating telephone lines,1245859
2009,Madinah,Subscribers of broadband services,158448
2009,Aseer,Subscribers of broadband services,75064
2009,Hail,Internet Users,215501
2009,Hail,Subscribers of broadband services,32818
2009,Northern Borders,Internet Users,113193
2009,Northern Borders,Subscribers of broadband services,18813
2009,Al-Jouf,Fixed operating telephone lines,46302
2009,Jazan,Internet Users,195910
2009,Total,Fixed operating telephone lines,4152693
2008,Riyadh,Internet Users,2237000
2008,Makkah,Subscribers of broadband services,390097
2008,Madinah,Internet Users,634000
2008,Al-Qaseem,Fixed operating telephone lines,160664
2008,Al-Qaseem,Subscribers of broadband services,46475
2008,Eastern,Internet Users,1436000
2008,Hail,Subscribers of broadband services,15885
2008,Al-Baha,Internet Users,144000
2008,Jazan,Fixed operating telephone lines,92527
2008,Total,Subscribers of broadband services,1331072
2015,Tabouk,percentage of  population  using internet,98
2014,Tabouk,percentage of  population  using internet,94
2014,Hail,percentage of  population  using internet,85
2014,Al-Baha,Subscribers of broadband services,54594
2014,Makkah,Subscribers of broadband services,794646
2014,Tabouk,Subscribers of broadband services,106155
2014,Aseer,Subscribers of broadband services,248706
2014,Eastern,Fixed operating telephone lines,706511
2014,Riyadh,Fixed operating telephone lines,1236546
2015,Jazan,Fixed operating telephone lines,51003
2011,Al-Baha,Subscribers of broadband services,14620
2011,Eastern,Subscribers of broadband services,359592
2011,Makkah,Subscribers of broadband services,571821
2012,Najran,Subscribers of broadband services,31966
2012,Jazan,Subscribers of broadband services,53647
2011,Eastern,Fixed operating telephone lines,816827
2011,Madinah,Fixed operating telephone lines,273392
2012,Najran,Fixed operating telephone lines,56536
2011,Al-Qaseem,Internet Users,529680
2011,Makkah,Internet Users,3651484
2008,Eastern,Subscribers of broadband services,245314
2008,Madinah,Subscribers of broadband services,76693
2009,Najran,Subscribers of broadband services,22367
2008,Aseer,Subscribers of broadband services,36333
2009,Total,Subscribers of broadband services,2750001
2009,Jazan,Fixed operating telephone lines,92527
2008,Aseer,Fixed operating telephone lines,202546
2009,Total,Internet Users,9900002
2008,Aseer,Internet Users,692000
2008,Hail,Internet Users,198000
2012,Eastern,Subscribers of broadband services,462488
2012,Riyadh,Subscribers of broadband services,830244
2012,Al-Jouf,Fixed operating telephone lines,53929
2012,Eastern,Fixed operating telephone lines,846563
2012,Jazan,Fixed operating telephone lines,107769
2013,Total,Fixed operating telephone lines,4718200
2012,Hail,Fixed operating telephone lines,74516
2012,Al-Jouf,Internet Users,263344
2013,Al-Jouf,Internet Users,275178
2012,Jazan,Internet Users,418982
2011,Northern Borders,Subscribers of broadband services,13348
2016,Northern Borders,Subscribers of broadband services,61426
2011,Northern Borders,Fixed operating telephone lines,31823
2008,Northern Borders,Internet Users,104000
2008,Najran,Internet Users,178000
2008,Total,Internet Users,9096000
2016,Eastern,percentage of  population  using internet,97.25
2014,Total,percentage of  population  using internet,95
2013,Riyadh,Subscribers of broadband services,953786
2013,Makkah,Subscribers of broadband services,790726
2014,Al-Jouf,Fixed operating telephone lines,32656
2013,Aseer,Subscribers of broadband services,106427
2013,Aseer,Fixed operating telephone lines,231803
2014,Jazan,Fixed operating telephone lines,20637
2013,Al-Qaseem,Internet Users,643405
2013,Madinah,Internet Users,1083395
2014,Northern Borders,Fixed operating telephone lines,39325
2013,Northern Borders,Fixed operating telephone lines,32408
2010,Al-Baha,Subscribers of broadband services,33277
2010,Al-Baha,Fixed operating telephone lines,53680
2011,Total,Subscribers of broadband services,1951143
2010,Madinah,Fixed operating telephone lines,245810
2011,Najran,Fixed operating telephone lines,54550
2011,Total,Fixed operating telephone lines,4633158
2011,Total,Mobile Phone Lines*,53705808
2010,Aseer,Internet Users,846000
2016,Riyadh,percentage of  population  using internet,94.7
2016,Aseer,percentage of  population  using internet,94.65
2015,Hail,percentage of  population  using internet,89
2015,Al-Qaseem,Subscribers of broadband services,109543
2016,Makkah,Subscribers of broadband services,548014
2016,Madinah,Fixed operating telephone lines,128812
2015,Madinah,Fixed operating telephone lines,125793
2015,Tabouk,Fixed operating telephone lines,64833
2016,Najran,Fixed operating telephone lines,29201
2016,Aseer,Fixed operating telephone lines,202615
2009,Northern Borders,Fixed operating telephone lines,28317
2009,Al-Qaseem,Subscribers of broadband services,96018
2009,Al-Qaseem,Fixed operating telephone lines,160664
2009,Riyadh,Subscribers of broadband services,891408
2009,Tabouk,Subscribers of broadband services,52512
2010,Najran,Fixed operating telephone lines,49047
2009,Tabouk,Fixed operating telephone lines,83462
2009,Hail,Fixed operating telephone lines,63977
2009,Al-Jouf,Internet Users,168701
2010,Najran,Internet Users,218000
